,recall@1,recall@2,recall@3,recall@4,recall@5,recall@6,recall@8,recall@10,recall@20,recall@50,recall@100
bert-base-german-cased-GermanDPR-1neg-epoch1-part1,0.1049941927990712,0.1486643437862941,0.1735191637630639,0.1981416957026676,0.212078977932632,0.2232288037166035,0.2443670150987161,0.2590011614401787,0.3142857142857041,0.3793263646922045,0.4269454123112495
bert-base-german-cased-GermanDPR-1neg-epoch1-part2,0.1217189314750294,0.1730545876887317,0.1995354239256641,0.2197444831591124,0.2369337979094018,0.2494773519163697,0.2736353077816413,0.2903600464575986,0.3481997677119507,0.4141695702671155,0.4662020905923158
bert-base-german-cased-GermanDPR-1neg-epoch1-part3,0.1217189314750294,0.1728222996515657,0.2018583042973248,0.227874564459925,0.2448315911730483,0.2592334494773448,0.2787456445992949,0.2989547038327433,0.3533101045296044,0.4269454123112495,0.4738675958187962
bert-base-german-cased-GermanDPR-1neg-epoch1-part4,0.1289198606271779,0.1842044134727032,0.2130081300812963,0.2315911730545821,0.2518002322880305,0.2668989547038252,0.2882694541231039,0.3110336817653791,0.3658536585365723,0.4411149825783799,0.4882694541230927
bert-base-german-cased-GermanDPR-1neg-epoch1-part5,0.1358885017421601,0.1934959349593462,0.221602787456441,0.2432055749128858,0.2617886178861716,0.2775842044134646,0.2994192799070754,0.320325203252022,0.3816492450638653,0.4634146341463229,0.5105691056910383
bert-base-german-cased-GermanDPR-1neg-epoch1-part6,0.1370499419279904,0.1939605110336783,0.2255516840882642,0.2457607433217126,0.2634146341463341,0.2796747967479592,0.3015098722415701,0.3186991869918595,0.3888501742160135,0.4678281068524783,0.5163763066201915
bert-base-german-cased-GermanDPR-1neg-epoch1-part7,0.135656213704994,0.1872241579558622,0.2225319396051053,0.2443670150987161,0.2624854819976698,0.2745644599303056,0.2963995354239165,0.3159117305458666,0.3825783972125295,0.4613240418118283,0.5133565621370318
bert-base-german-cased-GermanDPR-1neg-epoch1-part8,0.1265969802555172,0.1777003484320532,0.2072009291521445,0.2295005807200875,0.2478513356562072,0.262950058072002,0.2896631823461004,0.3112659698025452,0.3702671312427277,0.4506387921021889,0.5005807200928948
bert-base-german-cased-GermanDPR-1neg-epoch1-part9,0.1335656213704993,0.18025551684088,0.2130081300812963,0.2387921022067304,0.2606271777003413,0.275725900116136,0.2994192799070754,0.3184668989546934,0.3832752613240278,0.4692218350754747,0.5231126596980092
bert-base-german-cased-GermanDPR-1neg-epoch1-part10,0.1310104529616725,0.1790940766550496,0.2109175377468016,0.2339140534262428,0.2527293844366948,0.2689895470383199,0.2970963995354147,0.3159117305458666,0.3797909407665367,0.4643437862949872,0.5198606271776834
bert-base-german-cased-GermanDPR-1neg-epoch2-part1,0.1238095238095242,0.1730545876887317,0.2046457607433177,0.228106852497091,0.2497096399535358,0.2668989547038252,0.2940766550522558,0.3124274099883755,0.3718931475028902,0.4545876887340122,0.5133565621370318
bert-base-german-cased-GermanDPR-1neg-epoch2-part2,0.12938443670151,0.1804878048780461,0.2130081300812963,0.2369337979094018,0.2571428571428502,0.2731707317073092,0.2973286875725808,0.3186991869918595,0.3818815331010313,0.4645760743321533,0.5235772357723415
bert-base-german-cased-GermanDPR-1neg-epoch2-part3,0.1256678281068529,0.1716608594657353,0.205574912891982,0.2283391405342571,0.2455284552845465,0.2645760743321645,0.28850174216027,0.3101045296167148,0.3642276422764098,0.4462253193960335,0.5066202090592141
bert-base-german-cased-GermanDPR-1neg-epoch2-part4,0.1203252032520329,0.1744483159117282,0.2062717770034802,0.2255516840882642,0.2462253193960447,0.2610917537746734,0.2864111498257753,0.3070847851335558,0.3656213704994062,0.4497096399535246,0.5096399535423738
