,recall@1,recall@2,recall@3,recall@4,recall@5,recall@6,recall@8,recall@10,recall@20,recall@50,recall@100
bert-base-german-cased-GermanDPR-10neg-epoch1-part1,0.0757889887122782,0.105505643860862,0.1243953006219774,0.1361437456807198,0.1442064040543666,0.1515779774245579,0.1660907624971221,0.178991015894957,0.2112416493895441,0.263073024648702,0.3049988481916653
bert-base-german-cased-GermanDPR-10neg-epoch1-part2,0.0767104353835521,0.1103432388850501,0.1315365123243502,0.1435153190509112,0.1538815941027427,0.1614835291407526,0.1741534208707689,0.1854411425938744,0.2190739460953724,0.2810412347385434,0.3236581432849621
bert-base-german-cased-GermanDPR-10neg-epoch1-part3,0.0854641787606543,0.1177148122552415,0.1398295323658155,0.1541119557705612,0.1653996774936667,0.1750748675420428,0.1912001842893364,0.2013360976733495,0.2453351762266791,0.3006219765031142,0.3446210550564437
bert-base-german-cased-GermanDPR-10neg-epoch1-part4,0.0903017737848424,0.122782768947248,0.1442064040543666,0.1594102741303862,0.1730016125316765,0.1792213775627755,0.1967288643169799,0.2087076710435408,0.2448744528910421,0.3015434231743881,0.3485372034093579
bert-base-german-cased-GermanDPR-10neg-epoch1-part5,0.0900714121170239,0.1237042156185219,0.145358212393459,0.1612531674729341,0.1725408891960396,0.1810642709053233,0.195807417645706,0.2107809260539072,0.2510942179221411,0.3008523381709326,0.3432388850495328
bert-base-german-cased-GermanDPR-10neg-epoch1-part6,0.0909928587882978,0.1262381939645252,0.1469707440681883,0.1628656991476634,0.172771250863858,0.1808339092375048,0.1974199493204353,0.2130845427320919,0.2538585579359628,0.3128311448974936,0.3628196268141036
bert-base-german-cased-GermanDPR-10neg-epoch1-part7,0.0907624971204794,0.123243492282885,0.1474314674038253,0.1660907624971221,0.1764570375489537,0.1888965676111516,0.2038700760193528,0.2165399677493691,0.2566228979497846,0.3172080165860447,0.3618981801428297
bert-base-german-cased-GermanDPR-10neg-epoch1-part8,0.0953697304768489,0.1287721723105285,0.151117254088921,0.1688551025109439,0.1824464409122342,0.1923519926284288,0.2119327343929996,0.2257544344621083,0.2656070029947053,0.3278046533056947,0.3718037318590243
bert-base-german-cased-GermanDPR-10neg-epoch1-part9,0.0884588804422946,0.1237042156185219,0.1425938723796372,0.1587191891269308,0.1686247408431254,0.1764570375489537,0.1935038009675212,0.2114720110573626,0.2550103662750552,0.3070721032020316,0.3538355217691829
bert-base-german-cased-GermanDPR-10neg-epoch1-part10,0.0859249020962913,0.1197880672656078,0.1407509790370894,0.1531905090992873,0.1640175074867558,0.173231974199495,0.1902787376180625,0.2029486293480789,0.2428011978806758,0.3054595715273022,0.3510711817553612
bert-base-german-cased-GermanDPR-10neg-epoch1-part11,0.0907624971204794,0.122782768947248,0.1421331490440003,0.1550334024418351,0.1681640175074885,0.178991015894957,0.195346694310069,0.2091683943791778,0.2510942179221411,0.3119096982262196,0.3572909467864601
bert-base-german-cased-GermanDPR-10neg-epoch1-part12,0.0840820087537435,0.1158719189126936,0.1345312140059905,0.1442064040543666,0.1538815941027427,0.161713890808571,0.178991015894957,0.1914305459571549,0.2296705828150225,0.2884128081087347,0.329877908316061
